,AG_05414_AS.cel,AG_11745_AS.cel,AG_13927_AS.cel,KB_5047_2070_2_AS.CEL,KB_5275_2_AS.CEL,KB_5828_AS.cel,KB_6268_2_AS.cel,KB_8025_AS.cel,KB_8840_AS.cel
1028_at,9.12497305529286,8.9966633519827,9.23363694148922,9.08055504282222,9.12309032239818,9.11835996267626,9.10867330108462,9.0453797937946,9.0941471042009
1029_s_at,8.6713624961715,8.64177428718405,8.50740085703512,8.70110471631132,8.66973627534028,8.80096188381497,8.64533684591903,8.74460659254434,8.74171664301214
103_at,9.26889651019372,10.9169092961359,9.38721121199348,9.4195422502807,9.45688312354715,9.11100038308571,9.30110774868476,9.53025187832718,9.4079476560779
1030_s_at,9.80602165341348,9.7441317870416,9.59677555024505,9.8565594057664,9.6935843818839,9.62710330965557,9.7764220494745,9.5391155705171,9.677194807633
1031_at,9.06078883349252,8.86755438304364,8.88362454483889,8.74756336773252,8.94109063522743,8.67927451011998,8.8816805458618,8.77258448317994,8.73350864624113
1032_at,10.1668806299524,10.1380230565740,10.1524362069166,10.2258582230536,10.2004864315489,10.1531452847832,10.2555976249312,9.96751797573715,10.2626369632985
1033_g_at,9.01342882626998,9.17194554011984,9.20604163118237,9.1109932551177,8.9862316993883,9.18695313094006,9.0909051132859,8.93496876820788,9.07103908334217
1034_at,11.6213020540551,11.3895210526955,12.2837470450241,12.1393184150627,12.2592525881321,12.0083306336103,13.2363131428380,13.2265027591339,12.8993446679401
1035_g_at,12.3707315144431,11.8345575028907,12.7126988923308,12.6483854550968,12.7503261595616,12.5988219791096,13.8361927676436,13.3735087718496,13.4096430870478
1036_at,8.37976505712686,8.51975046959415,8.58315736032683,8.41030078501428,8.41030078501428,8.40965486503707,8.51980071135042,8.34055978991417,8.43530271886409
1037_at,8.71785246180352,8.66690559464509,8.72950963773397,8.62014362374628,8.66909116929283,8.61074453580244,8.60017286759325,8.46317756705086,8.62014362374628
1038_s_at,8.87268930221328,9.25151420850044,9.21621051777811,9.25083832828566,9.14735394754303,9.24756919280963,9.4790619294836,9.32319025301523,9.46828467453517
1039_s_at,10.6875930358034,9.93749609100897,10.3067237310330,9.53247400496561,9.7782338079192,9.6638061877888,9.42785545206673,9.40357140398588,9.48562926302412
104_at,8.71806372424341,8.90426577275496,8.98773941829376,9.06812823801466,8.93584974208836,8.9889388832582,8.95902270286975,8.89991242509152,9.08125066039122
1040_s_at,8.8551664948542,8.86548667997476,8.77698608651385,8.93919734945923,8.87259630365702,8.68342924579927,8.89149039847596,9.03624614908084,8.99203033128713
1041_at,9.03055422101181,9.02385262006222,9.0286149427359,9.03055422101181,9.03055422101181,9.05217760484162,9.00581400807983,9.00029653792006,9.05793928083425
1042_at,8.28233077260112,8.54071708622526,8.54134438502597,8.6755853326679,8.53461200518194,8.4051877619298,8.56873298949587,8.56575780842576,8.5728622565323
1043_s_at,8.75137261953716,8.8371596958142,8.73276893679993,8.68706754448567,8.7071746884941,8.71677038365431,8.73293298607281,8.71677038365431,8.68958080686013
1044_s_at,8.68651976736497,8.89217733994884,8.80611079869121,8.91516477661485,9.04731535832845,8.82537134067444,8.99091915182838,8.67528949161902,9.03985302762808
1045_s_at,8.97399504123256,9.14192699604533,9.19712695108657,9.10224571595394,9.10686572408103,9.0442270465937,9.09189391590427,9.16657379208922,9.14763679841908
1046_at,8.86323398980707,8.79125297935394,8.91718901858802,8.67168163166669,8.86634473022507,8.87592754818892,8.72511169657669,8.68341647235648,8.61124976169963
1047_s_at,9.25425462714531,9.25929732409228,9.21600638303698,9.23022265077836,9.21452944654187,9.33730435796371,9.22567367587673,9.16102981064687,9.23022265077836
1048_at,8.6444388865138,8.71073848534968,8.76169417125493,8.86801894224786,8.78814864376341,8.78196692284299,8.85654344999956,8.68456466330584,8.7815927122792
1049_g_at,9.48746019521705,9.74583223418058,9.6294765560544,9.5688491589227,9.5790148963497,9.72494017991331,9.62401379008054,9.55525978829588,9.66587943443893
105_at,8.80142932589897,8.6857541229384,8.75966653939028,8.75558427087363,8.76893399855009,8.81710888704827,8.65276918004836,8.71448516606621,8.80447030764654
